,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,0.95
Refraction index,1.33
Voxel size,220 nm x 220 nm x 220 nm
Bead diameter,100 nm
,
Frame size,12 pixels
Threshold,197
,
Theoretical FWHM in XY,270 nm
Theoratical FWHM in Z,1.3 um
,
HeatMap Statistics,
FWHM min,422 nm +/- 11 nm
FWHMmin / Theoretical FWHMxy,1.566 +/- 0.04
FWHM max,550 nm +/- 36 nm
FWHMmax / Theoretical FWHMxy,2.041 +/- 0.134
FWHM z,2.08 um +/- 72.03 nm
FWHMz / Theoretical FWHMz,1.605 +/- 0.056
z0,+/- 8.33 um
(z0 - mean(z0)) / FWHMz,+/- 6.421
Asymmetry,0.772 +/- 0.054
Theta,-53.9 deg +/- 49.8 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
122,-124.188,56.723,3.134,0.444,0.524,2.493,-34.384,0.848,-15.963,0.92,0.945,1,278,196.716,116.676,data_traditional
123,21.626,49.97,4.253,0.447,0.62,2.988,-33.265,0.721,76.031,0.924,0.884,0,542,410.83,122.916,data_traditional
124,32.344,46.441,3.531,0.478,0.854,2.383,-33.986,0.559,-89.134,0.866,0.972,0,288,226.701,121.086,data_traditional
125,10.558,45.472,3.956,0.374,0.464,3.589,-33.561,0.806,-86.79,0.855,0.689,0,398,308.461,121.995,data_traditional
126,1.595,37.908,3.748,0.431,0.542,2.012,-33.77,0.795,-82.241,0.948,0.978,1,491,407.591,121.483,data_traditional
127,42.139,-44.967,4.033,0.56,0.729,4.232,-33.484,0.767,45.558,0.879,0.771,0,423,261.921,119.984,data_traditional
128,-35.64,-51.59,16.829,0,0,1.89,-20.688,0.0,0,0,0.978,0,552,0,0,data_traditional
129,-126.127,-61.355,3.078,0.464,0.582,2.97,-34.44,0.799,61.736,0.909,0.904,1,285,175.007,116.616,data_traditional
130,148.317,-62.468,1.696,0.522,0.763,3.901,-35.822,0.683,-79.063,0.66,0.861,0,185,85.23,115.452,data_traditional
131,-74.8,-65.01,0.395,0,0,3.984,-37.122,0.0,0,0,0.879,0,208,0,0,data_traditional
